@relation 'Raisin_Grains_Dataset-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R9-10-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R4,6'

@attribute Area {'\'(-inf-46353]\'','\'(46353-67319]\'','\'(67319-88285]\'','\'(88285-109251]\'','\'(109251-130217]\'','\'(130217-151183]\'','\'(151183-172149]\'','\'(172149-193115]\'','\'(193115-214081]\'','\'(214081-inf)\''}
@attribute MajorAxisLength {'\'(-inf-285.138989]\'','\'(285.138989-344.648437]\'','\'(344.648437-404.157885]\'','\'(404.157885-463.667333]\'','\'(463.667333-523.176781]\'','\'(523.176781-582.68623]\'','\'(582.68623-642.195678]\'','\'(642.195678-701.705126]\'','\'(701.705126-761.214574]\'','\'(761.214574-inf)\''}
@attribute MinorAxisLength {'\'(-inf-173.389497]\'','\'(173.389497-203.068123]\'','\'(203.068123-232.746749]\'','\'(232.746749-262.425374]\'','\'(262.425374-292.104]\'','\'(292.104-321.782625]\'','\'(321.782625-351.461251]\'','\'(351.461251-381.139876]\'','\'(381.139876-410.818502]\'','\'(410.818502-inf)\''}
@attribute ConvexArea {'\'(-inf-47434.4]\'','\'(47434.4-68729.8]\'','\'(68729.8-90025.2]\'','\'(90025.2-111320.6]\'','\'(111320.6-132616]\'','\'(132616-153911.4]\'','\'(153911.4-175206.8]\'','\'(175206.8-196502.2]\'','\'(196502.2-217797.6]\'','\'(217797.6-inf)\''}
@attribute Perimeter {'\'(-inf-786.1555]\'','\'(786.1555-953.237]\'','\'(953.237-1120.3185]\'','\'(1120.3185-1287.4]\'','\'(1287.4-1454.4815]\'','\'(1454.4815-1621.563]\'','\'(1621.563-1788.6445]\'','\'(1788.6445-1955.726]\'','\'(1955.726-2122.8075]\'','\'(2122.8075-inf)\''}
@attribute Class {Kecimen,Besni}

@data
'\'(46353-67319]\'','\'(404.157885-463.667333]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(203.068123-232.746749]\'','\'(-inf-47434.4]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(344.648437-404.157885]\'','\'(-inf-173.389497]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(232.746749-262.425374]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(285.138989-344.648437]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(173.389497-203.068123]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(232.746749-262.425374]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(285.138989-344.648437]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(203.068123-232.746749]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(-inf-46353]\'','\'(285.138989-344.648437]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(173.389497-203.068123]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(262.425374-292.104]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(203.068123-232.746749]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(262.425374-292.104]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(46353-67319]\'','\'(-inf-285.138989]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(232.746749-262.425374]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(262.425374-292.104]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(285.138989-344.648437]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(292.104-321.782625]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(292.104-321.782625]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(262.425374-292.104]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(173.389497-203.068123]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(203.068123-232.746749]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(285.138989-344.648437]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(262.425374-292.104]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(292.104-321.782625]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(292.104-321.782625]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(262.425374-292.104]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(173.389497-203.068123]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(173.389497-203.068123]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(173.389497-203.068123]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(173.389497-203.068123]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(404.157885-463.667333]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(-inf-173.389497]\'','\'(-inf-47434.4]\'','\'(-inf-786.1555]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(67319-88285]\'','\'(404.157885-463.667333]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(88285-109251]\'','\'(344.648437-404.157885]\'','\'(321.782625-351.461251]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(786.1555-953.237]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(232.746749-262.425374]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(232.746749-262.425374]\'','\'(68729.8-90025.2]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(285.138989-344.648437]\'','\'(232.746749-262.425374]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(67319-88285]\'','\'(344.648437-404.157885]\'','\'(262.425374-292.104]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(173.389497-203.068123]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Kecimen
'\'(-inf-46353]\'','\'(-inf-285.138989]\'','\'(203.068123-232.746749]\'','\'(-inf-47434.4]\'','\'(786.1555-953.237]\'',Kecimen
'\'(130217-151183]\'','\'(642.195678-701.705126]\'','\'(262.425374-292.104]\'','\'(132616-153911.4]\'','\'(1454.4815-1621.563]\'',Besni
'\'(109251-130217]\'','\'(523.176781-582.68623]\'','\'(262.425374-292.104]\'','\'(111320.6-132616]\'','\'(1287.4-1454.4815]\'',Besni
'\'(88285-109251]\'','\'(463.667333-523.176781]\'','\'(232.746749-262.425374]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Besni
'\'(88285-109251]\'','\'(404.157885-463.667333]\'','\'(262.425374-292.104]\'','\'(90025.2-111320.6]\'','\'(1120.3185-1287.4]\'',Besni
'\'(46353-67319]\'','\'(344.648437-404.157885]\'','\'(203.068123-232.746749]\'','\'(47434.4-68729.8]\'','\'(953.237-1120.3185]\'',Besni
'\'(151183-172149]\'','\'(582.68623-642.195678]\'','\'(321.782625-351.461251]\'','\'(153911.4-175206.8]\'','\'(1454.4815-1621.563]\'',Besni
'\'(130217-151183]\'','\'(582.68623-642.195678]\'','\'(262.425374-292.104]\'','\'(132616-153911.4]\'','\'(1454.4815-1621.563]\'',Besni
'\'(109251-130217]\'','\'(523.176781-582.68623]\'','\'(262.425374-292.104]\'','\'(111320.6-132616]\'','\'(1287.4-1454.4815]\'',Besni
'\'(109251-130217]\'','\'(404.157885-463.667333]\'','\'(351.461251-381.139876]\'','\'(111320.6-132616]\'','\'(1287.4-1454.4815]\'',Besni
'\'(67319-88285]\'','\'(463.667333-523.176781]\'','\'(232.746749-262.425374]\'','\'(90025.2-111320.6]\'','\'(1287.4-1454.4815]\'',Besni
'\'(88285-109251]\'','\'(463.667333-523.176781]\'','\'(262.425374-292.104]\'','\'(90025.2-111320.6]\'','\'(1287.4-1454.4815]\'',Besni
'\'(46353-67319]\'','\'(404.157885-463.667333]\'','\'(173.389497-203.068123]\'','\'(68729.8-90025.2]\'','\'(1120.3185-1287.4]\'',Besni
'\'(109251-130217]\'','\'(642.195678-701.705126]\'','\'(232.746749-262.425374]\'','\'(132616-153911.4]\'','\'(1454.4815-1621.563]\'',Besni
'\'(-inf-46353]\'','\'(285.138989-344.648437]\'','\'(173.389497-203.068123]\'','\'(-inf-47434.4]\'','\'(786.1555-953.237]\'',Besni
